Danny Willett,3.5,125-1,0.007936507937,0.175,0.04535147392
Carlos Ortiz,3.25,125-1,0.007936507937,0.1625,0.04884004884
Robert Macintyre,3,125-1,0.007936507937,0.15,0.05291005291
Zach Johnson,3,150-1,0.006622516556,0.15,0.04415011038
Matt Wallace,2.75,80-1,0.01234567901,0.1375,0.08978675645
Ryan Palmer,2.5,100-1,0.009900990099,0.125,0.07920792079
Kevin Na,2.5,150-1,0.006622516556,0.125,0.05298013245
C.T. Pan,2.5,250-1,0.003984063745,0.125,0.03187250996
Bernd Wiesberger,2.25,200-1,0.004975124378,0.1125,0.04422332781
Brendon Todd,2.25,200-1,0.004975124378,0.1125,0.04422332781
Lanto Griffin,2,200-1,0.004975124378,0.1,0.04975124378
Charl Schwartzel,2,250-1,0.003984063745,0.1,0.03984063745
Hudson Swafford,2,400-1,0.002493765586,0.1,0.02493765586
Mackenzie Hughes,2,200-1,0.004975124378,0.1,0.04975124378
Jimmy Walker,1.75,400-1,0.002493765586,0.0875,0.02850017813
Martin Laird,1.75,250-1,0.003984063745,0.0875,0.04553215709
Ty Strafaci,1.5,750-1,0.001331557923,0.075,0.01775410564
Joe Long,1.5,1000-1,0.000999000999,0.075,0.01332001332
Charles Osborne,1.5,1000-1,0.000999000999,0.075,0.01332001332
Jim Herman,1.25,500-1,0.001996007984,0.0625,0.03193612774
Stewart Cink,1.25,400-1,0.002493765586,0.0625,0.03990024938
Michael Thompson,1,250-1,0.003984063745,0.05,0.0796812749
Robert Streb,1,500-1,0.001996007984,0.05,0.03992015968
Brian Gay,0.75,300-1,0.003322259136,0.0375,0.08859357697
Bernhard Langer,0.75,500-1,0.001996007984,0.0375,0.05322687957
Vijay Singh,0.5,1000-1,0.000999000999,0.025,0.03996003996
Ian Woosnam,0.5,4000-1,0.0002499375156,0.025,0.009997500625
Fred Couples,0.5,750-1,0.001331557923,0.025,0.05326231691
Mike Weir,0.5,1000-1,0.000999000999,0.025,0.03996003996
Jose Maria Olazabal,0.25,1500-1,0.0006662225183,0.0125,0.05329780147
Sandy Lyle,0.25,2500-1,0.000399840064,0.0125,0.03198720512
Larry Mize,0.25,2500-1,0.000399840064,0.0125,0.03198720512
